interaction_id,user_id,package_id,event_type,timestamp,session_duration_sec,pages_viewed
INT001,U001,PKG001,view,2025-09-01 10:00:00,120,5
INT002,U002,PKG005,view,2025-09-01 11:15:00,60,2
INT003,U001,PKG002,view,2025-09-01 15:30:00,300,8
INT004,U003,PKG004,view,2025-09-02 09:45:00,180,6
INT005,U001,PKG002,book,2025-09-03 12:00:00,900,15
INT006,U004,PKG003,view,2025-09-03 14:10:00,450,10
INT007,U003,PKG004,book,2025-09-03 16:20:00,600,12
INT008,U005,PKG001,view,2025-09-04 08:30:00,150,4
INT009,U001,PKG001,view,2025-09-04 11:00:00,50,2
INT010,U006,PKG005,book,2025-09-04 13:45:00,720,18
