lead_id,timestamp,lead_source,pages_viewed,time_on_site_sec,visited_pricing_page,form_submission_count,email_opened_count,recency_visit_days,is_converted
L0001,2025-08-01 00:00:00,Facebook,13,827,1,0,1,8,1
L0002,2025-08-01 02:00:00,LinkedIn,11,820,0,0,0,0,0
L0003,2025-08-01 04:00:00,Referral,7,491,0,0,2,16,0
L0004,2025-08-01 06:00:00,Facebook,5,196,0,0,1,25,0
L0005,2025-08-01 08:00:00,Google,7,313,0,0,0,20,0
L0006,2025-08-01 10:00:00,Google,10,658,1,1,1,4,1
L0007,2025-08-01 12:00:00,Google,10,342,0,0,0,3,0
L0008,2025-08-01 14:00:00,WebsiteDirect,3,211,0,0,1,0,0
L0009,2025-08-01 16:00:00,Referral,11,725,0,0,1,10,1
L0010,2025-08-01 18:00:00,Referral,9,598,0,0,0,7,0
L0011,2025-08-01 20:00:00,Google,9,315,0,0,2,6,0
L0012,2025-08-01 22:00:00,LinkedIn,9,592,0,2,0,23,0
L0013,2025-08-02 00:00:00,WebsiteDirect,10,639,0,0,3,1,0
L0014,2025-08-02 02:00:00,Google,6,429,0,2,1,0,0
L0015,2025-08-02 04:00:00,Google,10,320,0,1,2,0,1
L0016,2025-08-02 06:00:00,Google,14,436,0,1,1,2,1
L0017,2025-08-02 08:00:00,Google,8,389,0,0,0,0,0
L0018,2025-08-02 10:00:00,Facebook,11,411,1,0,0,6,1
L0019,2025-08-02 12:00:00,Facebook,7,405,0,1,0,3,0
L0020,2025-08-02 14:00:00,Google,5,379,0,0,2,1,0
L0021,2025-08-02 16:00:00,Referral,7,347,0,5,4,13,1
L0022,2025-08-02 18:00:00,Google,9,650,0,2,4,2,1
L0023,2025-08-02 20:00:00,Google,8,240,0,0,1,11,0
L0024,2025-08-02 22:00:00,Facebook,10,384,1,1,1,4,1
L0025,2025-08-03 00:00:00,Facebook,9,283,0,1,2,7,0
L0026,2025-08-03 02:00:00,Referral,9,417,0,0,2,27,0
L0027,2025-08-03 04:00:00,Google,5,377,0,0,3,0,0
L0028,2025-08-03 06:00:00,Facebook,5,174,0,0,3,6,0
L0029,2025-08-03 08:00:00,Facebook,8,482,1,1,2,19,1
L0030,2025-08-03 10:00:00,Google,8,420,1,0,1,8,0
L0031,2025-08-03 12:00:00,Referral,3,230,0,0,3,3,0
L0032,2025-08-03 14:00:00,Google,4,144,0,0,2,5,0
L0033,2025-08-03 16:00:00,Google,8,324,0,0,0,11,0
L0034,2025-08-03 18:00:00,WebsiteDirect,9,283,0,1,3,22,0
L0035,2025-08-03 20:00:00,LinkedIn,8,413,0,0,2,0,0
L0036,2025-08-03 22:00:00,WebsiteDirect,8,351,0,0,3,0,0
L0037,2025-08-04 00:00:00,Google,9,661,0,0,1,3,0
L0038,2025-08-04 02:00:00,Google,7,421,0,0,1,2,0
L0039,2025-08-04 04:00:00,Referral,11,667,0,0,1,3,0
L0040,2025-08-04 06:00:00,Facebook,10,565,1,3,0,2,1
L0041,2025-08-04 08:00:00,Google,10,345,0,0,0,2,0
L0042,2025-08-04 10:00:00,Facebook,9,470,1,0,3,1,1
L0043,2025-08-04 12:00:00,Google,6,479,0,2,0,27,0
L0044,2025-08-04 14:00:00,WebsiteDirect,5,358,0,0,1,1,0
L0045,2025-08-04 16:00:00,Google,9,672,1,1,4,2,1
L0046,2025-08-04 18:00:00,Referral,6,426,1,1,2,2,1
L0047,2025-08-04 20:00:00,Google,5,175,0,1,1,27,0
L0048,2025-08-04 22:00:00,Facebook,8,330,0,3,3,14,1
L0049,2025-08-05 00:00:00,Facebook,9,271,1,0,2,15,0
L0050,2025-08-05 02:00:00,Google,12,542,0,0,1,1,0
L0051,2025-08-05 04:00:00,LinkedIn,8,283,0,0,0,18,0
L0052,2025-08-05 06:00:00,Referral,14,750,1,1,0,5,1
L0053,2025-08-05 08:00:00,WebsiteDirect,3,191,0,0,3,3,0
L0054,2025-08-05 10:00:00,WebsiteDirect,6,442,0,1,3,8,0
L0055,2025-08-05 12:00:00,Facebook,8,539,0,0,1,17,0
L0056,2025-08-05 14:00:00,WebsiteDirect,10,769,0,0,3,15,0
L0057,2025-08-05 16:00:00,Google,4,130,0,1,1,22,0
L0058,2025-08-05 18:00:00,Google,6,183,0,1,1,26,0
L0059,2025-08-05 20:00:00,Google,9,567,0,1,4,2,1
L0060,2025-08-05 22:00:00,Google,7,311,0,0,1,5,0
L0061,2025-08-06 00:00:00,Facebook,11,469,1,0,2,0,1
L0062,2025-08-06 02:00:00,Google,11,511,0,0,1,21,0
L0063,2025-08-06 04:00:00,WebsiteDirect,8,347,1,0,1,1,1
L0064,2025-08-06 06:00:00,Facebook,10,555,0,0,2,19,0
L0065,2025-08-06 08:00:00,Google,8,416,1,0,2,3,1
L0066,2025-08-06 10:00:00,Facebook,5,278,0,0,1,4,0
L0067,2025-08-06 12:00:00,Google,5,318,0,0,2,0,0
L0068,2025-08-06 14:00:00,WebsiteDirect,12,592,0,0,1,3,0
L0069,2025-08-06 16:00:00,Google,7,297,0,2,1,21,0
